03-21-17-15-29-37	MouseMoveV	-0.1166049	1328.489	1127.07	564.5234
03-21-17-15-29-37	MouseMoveD	157.6489	1328.606	1022.594	446.4648
03-21-17-15-29-37	MouseMoveS	0	1328.723	1022.594	446.4648
03-21-17-15-29-38	MouseMoveD	350.6529	1328.956	739.2656	239.8672
03-21-17-15-29-38	OnMouseComponent	pickup/2001	1328.989	633.7461	152.1055
03-21-17-15-29-38	OutMouseComponent	pickup/2001	1329.006	617.7266	131.2109
03-21-17-15-29-38	MouseMoveD	191.1406	1329.073	596.8281	112.4063
03-21-17-15-29-38	MouseMoveD	293.1459	1329.289	549.4648	392.0547
03-21-17-15-29-38	MouseMoveV	-0.2563317	1329.289	549.4648	392.0547
03-21-17-15-29-38	MouseMoveD	510.0608	1329.406	651.5039	891.8047
03-21-17-15-29-38	MouseMoveV	-0.9130708	1329.639	648.4141	867.6055
03-21-17-15-29-38	MouseMoveD	105.5699	1329.755	645.2813	762.082
03-21-17-15-29-39	MouseMoveS	0	1329.973	645.2813	761.082
03-21-17-15-29-39	OnMouseComponent	delivery/3001	1330.339	645.2813	749.6367
03-21-17-15-29-39	OutMouseComponent	delivery/3001	1330.389	651.5508	716.2031
03-21-17-15-29-39	MouseMoveD	272.3861	1330.522	858.4141	501.3281
03-21-17-15-29-39	MouseMoveS	0	1330.623	858.4141	501.3281
03-21-17-15-29-40	MouseMoveD	179.2726	1330.956	1073.289	571.6758
03-21-17-15-29-40	MouseMoveD	157.7991	1331.056	1228.609	599.5352
03-21-17-15-29-40	MouseMoveD	380.325	1331.411	1270.055	110.9336
03-21-17-15-29-40	MouseMoveS	0	1331.623	1254.383	72.625
03-21-17-15-29-40	MouseMoveV	0.3786365	1331.739	1253.383	72.625
03-21-17-15-29-41	MouseMoveV	-0.4954451	1332.189	1183.605	44.15625
03-21-17-15-29-41	MouseMoveD	288.6991	1332.306	1127.188	327.2891
03-21-17-15-29-41	MouseMoveV	-0.8458433	1332.306	1127.188	327.2891
03-21-17-15-29-41	MouseMoveD	423.3374	1332.422	984.0547	725.6953
03-21-17-15-29-41	MouseMoveS	0	1332.522	984.0547	725.6953
03-21-17-15-29-41	MouseMoveV	-0.9990772	1332.622	995.1992	689.9141
03-21-17-15-29-41	OnMouseComponent	thread/1001	1332.739	1044.305	673.1992
03-21-17-15-29-42	OutMouseComponent	thread/1001	1332.973	1073.859	584.4375
